
2025/10/24 (18:05:10) | ===> btop++ v.1.3.2
2025/10/24 (18:05:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/13 (09:22:09) | ===> btop++ v.1.3.2
2025/11/13 (09:22:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/13 (09:22:54) | WARNING: Failed to join _runner thread on exit!

2025/11/20 (09:34:50) | ===> btop++ v.1.3.2
2025/11/20 (09:34:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/20 (09:37:16) | WARNING: Failed to join _runner thread on exit!

2025/11/20 (16:45:16) | ===> btop++ v.1.3.2
2025/11/20 (16:45:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/20 (16:49:50) | WARNING: Failed to join _runner thread on exit!

2025/11/20 (16:50:11) | ===> btop++ v.1.3.2
2025/11/20 (16:50:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/25 (08:14:21) | ===> btop++ v.1.3.2
2025/11/25 (08:14:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/26 (05:22:46) | ===> btop++ v.1.3.2
2025/11/26 (05:22:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/26 (16:52:10) | ===> btop++ v.1.3.2
2025/11/26 (16:52:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/26 (19:03:46) | WARNING: Failed to join _runner thread on exit!

2025/11/28 (13:23:27) | ===> btop++ v.1.3.2
2025/11/28 (13:23:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/28 (14:16:11) | ===> btop++ v.1.3.2
2025/11/28 (14:16:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/28 (14:16:49) | ===> btop++ v.1.3.2
2025/11/28 (14:16:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/28 (15:24:17) | ===> btop++ v.1.3.2
2025/11/28 (15:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/11/28 (15:24:24) | WARNING: Failed to join _runner thread on exit!

2025/12/03 (09:49:37) | ===> btop++ v.1.3.2
2025/12/03 (09:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/12/03 (13:38:21) | WARNING: Failed to join _runner thread on exit!

2025/12/03 (13:38:38) | ===> btop++ v.1.3.2
2025/12/03 (13:38:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/12/03 (13:38:40) | WARNING: Failed to join _runner thread on exit!

2025/12/03 (15:02:10) | ===> btop++ v.1.3.2
2025/12/03 (15:02:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
